date,stock_count
2017-04-28,2877
2017-05-31,2871
2017-06-30,2889
2017-07-31,2881
2017-08-31,2862
2017-09-29,2881
2017-10-31,2843
2017-11-30,2867
2017-12-29,2885
2018-01-31,2901
2018-02-28,2887
2018-03-29,2860
2018-04-30,2880
2018-05-31,2914
2018-06-29,2914
2018-07-31,2928
2018-08-31,2947
2018-09-28,2947
2018-10-31,2879
2018-11-30,2856
2018-12-31,2757
2019-01-31,2822
2019-02-28,2839
2019-03-29,2843
2019-04-30,2844
2019-05-31,2796
2019-06-28,2831
2019-07-31,2821
2019-08-30,2794
2019-09-30,2791
2019-10-31,2786
2019-11-29,2782
2019-12-31,2805
2020-01-31,2794
2020-02-28,2759
2020-03-31,2590
2020-04-30,2685
2020-05-29,2733
2020-06-30,2764
2020-07-31,2793
2020-08-31,2838
2020-09-30,2840
2020-10-30,2841
2020-11-30,3002
2020-12-31,3076
2021-01-29,3195
2021-02-26,3285
2021-03-31,3306
2021-04-30,3370
2021-05-28,3457
2021-06-30,3535
2021-07-30,3514
2021-08-31,3599
2021-09-30,3589
2021-10-29,3602
2021-11-30,3560
2021-12-31,3527
2022-01-31,3455
2022-02-28,3448
2022-03-31,3456
2022-04-29,3348
2022-05-31,3301
2022-06-30,3193
2022-07-29,3252
2022-08-31,3238
2022-09-30,3154
2022-10-31,3154
2022-11-30,3126
2022-12-30,3016
2023-01-31,3077
2023-02-28,3040
2023-03-31,2951
2023-04-28,2941
2023-05-31,2943
2023-06-30,2952
2023-07-31,2974
2023-08-31,2918
2023-09-29,2867
2023-10-31,2791
2023-11-30,2816
2023-12-29,2864
2024-01-31,2817
2024-02-29,2836
2024-03-28,2842
2024-04-30,2773
2024-05-31,2781
2024-06-28,2756
2024-07-31,2784
2024-08-30,2772
2024-09-30,2750
2024-10-31,2757
2024-11-29,2771
2024-12-31,2733
