date,monthly_mean
1994-01-31,-0.002197332221759066
1994-02-28,-0.037230470979821094
1994-03-31,0.004084684453781512
1994-04-29,0.00814792921845376
1994-05-31,-0.010991432974456407
1994-06-30,0.025446824324324324
1994-07-29,0.05410147359562381
1994-08-31,0.00947508276005837
1994-09-30,0.013371053567735264
1994-10-31,-0.027120425399460468
1994-11-30,0.014575199496010079
1994-12-30,0.021204687952320136
1995-01-31,0.04333564697255395
1995-02-28,0.028276112178817633
1995-03-31,0.027264108423686408
1995-04-28,0.026803309165808444
1995-05-31,0.05259782039231712
1995-06-30,0.06119321419975933
1995-07-31,0.033918623580101843
1995-08-31,0.02894544801548887
1995-09-29,-0.022019565485362096
1995-10-31,0.041682044588489495
1995-11-30,0.02254624907353228
1995-12-29,0.01628692666796343
1996-01-31,0.03622330697230181
1996-02-29,0.026136745998475607
1996-03-29,0.06407646573795181
1996-04-30,0.0547936602528862
1996-05-31,-0.023873376276652928
1996-06-28,-0.0637275209344115
1996-07-31,0.055162931539447194
1996-08-30,0.045652884795955216
1996-09-30,0.0016704353386167144
1996-10-31,0.04001578455358773
1996-11-29,0.0246594010106479
1996-12-31,0.04594352635379061
1997-01-31,-0.0008437123674911662
1997-02-28,-0.030906886331192006
1997-03-31,0.0018440918830579264
1997-04-30,0.10744471634083363
1997-05-30,0.05901699381030402
1997-06-30,0.06803312315808623
1997-07-31,0.03280116663651167
1997-08-29,0.08690033731502941
1997-09-30,-0.0165564433532094
1997-10-31,0.001801937112488928
1997-11-28,0.01932485046395432
1997-12-31,0.0010250611242495905
1998-01-30,0.07532220938235827
1998-02-27,0.05589373007573026
1998-03-31,0.02532483121304426
1998-04-30,-0.03082232283464567
1998-05-29,0.004941931166000726
1998-06-30,-0.04031280560192914
1998-07-31,-0.1346357538869928
1998-08-31,0.06233281842266151
1998-09-30,0.05501445923359152
1998-10-30,0.07210875392136891
1998-11-30,0.05247233226130653
1998-12-31,0.030442877542717656
1999-01-29,-0.03540429884600079
1999-02-26,0.01213400739979445
1999-03-31,0.0865869941618015
1999-04-30,0.031098081207916753
1999-05-28,0.05757539801096002
1999-06-30,0.005051909368014631
1999-07-30,-0.015994856910899125
1999-08-31,-0.000744474887709269
1999-09-30,0.02514973309756605
1999-10-29,0.07508773594440935
1999-11-30,0.08476954469216609
1999-12-31,0.011548597062965198
2000-01-31,0.10710263059849386
2000-02-29,0.015896390980392156
2000-03-31,-0.05158650905068382
2000-04-28,-0.023248824132162275
2000-05-31,0.09699143817088879
2000-06-30,0.0006798679889102151
2000-07-31,0.07623307536169294
2000-08-31,-0.0074333152997186755
2000-09-29,-0.019405518107087315
2000-10-31,-0.04741291560693641
2000-11-30,0.07654373486328125
2000-12-29,0.09858073098098098
2001-01-31,-0.03946759595719382
2001-02-28,-0.021333654284299158
2001-03-30,0.09228984615384617
2001-04-30,0.06576326123381569
2001-05-31,0.043470214605067066
2001-06-29,-0.0040556563909774435
2001-07-31,-0.012899435393258427
2001-08-31,-0.077926331685744
2001-09-28,0.06847321548635987
2001-10-31,0.0765728682569802
2001-11-30,0.060691595699495615
2001-12-31,0.01064917433350758
2002-01-31,-0.004449655815174586
2002-02-28,0.08212394438473938
2002-03-28,0.02149064982899237
2002-04-30,-0.005385388933440257
2002-05-31,-0.025267645257452575
2002-06-28,-0.07865031661092531
2002-07-31,0.018242525124889802
2002-08-30,-0.04064930976331361
2002-09-30,0.04580406057810578
2002-10-31,0.0764089414619351
2002-11-29,-0.018675287309048178
2002-12-31,-0.00484885594739988
2003-01-31,-0.010321163259170174
2003-02-28,0.020627736616702353
2003-03-31,0.08529434027565085
2003-04-30,0.09146423728813559
2003-05-30,0.036051296834901624
2003-06-30,0.06423414710002802
2003-07-31,0.04684533765159867
2003-08-29,0.0020381018191691557
2003-09-30,0.0834629623554719
2003-10-31,0.04345399473822678
2003-11-28,0.035914103060423745
2003-12-31,0.04792005885416666
2004-01-30,0.01930011590159777
2004-02-27,0.00992950063500127
2004-03-31,-0.021029615051020408
2004-04-30,0.012113090369222824
2004-05-28,0.034681882703262557
2004-06-30,-0.04172935419926969
2004-07-30,-0.0014186330226364846
2004-08-31,0.04755714442364268
2004-09-30,0.0261773777130757
2004-10-29,0.07871600582781457
2004-11-30,0.04678639173381856
2004-12-31,-0.021999484809474768
2005-01-31,0.018945184607384296
